frame_id,timestamp,success,apriltag_success,center_u_mean,center_v_mean,center_u_mid,center_v_mid,roll_euler,pitch_euler,yaw_euler,roll_tilt,pitch_tilt,yaw_tilt,reprojection_error_mean,reprojection_error_max,has_tilt,roll_offset,pitch_offset,yaw_offset,apriltag_id,origin_idx
frame_000069,1763444916.3245099,True,True,677.4535522460938,400.23883056640625,679.8953857421875,400.0509338378906,-179.8327173477501,-3.885048823717625,0.9686794619063903,176.11832628007141,89.7665759605863,0.9686794619063903,210.18931579589844,592.8982543945312,True,176.11832628007141,89.7665759605863,0.9686794619063903,0,15
frame_000070,1763444916.4245205,True,True,680.2496337890625,393.754638671875,682.3143920898438,393.4656982421875,-0.1319916644273178,-5.006017767055994,1.075460055225136,5.007608332478782,89.96172489458128,1.0754600552251645,243.7962188720703,434.49676513671875,True,5.007608332478782,89.96172489458128,1.0754600552251645,0,15
frame_000071,1763444916.5245025,True,True,680.8473510742188,392.3125915527344,682.681396484375,392.4066467285156,-174.82824817902144,0.22000157146374022,-89.37014422766613,174.83091987395778,89.72300525257316,-89.37014422766613,225.45565795898438,435.1706237792969,True,174.83091987395778,89.72300525257316,-89.37014422766613,0,15
frame_000072,1763444916.6246052,True,True,680.7948608398438,391.4810791015625,682.8739013671875,391.53436279296875,5.027746383837183,0.22780323838063055,-89.52766898093732,-5.025752434141964,-90.26934867560726,-89.52766898093732,345.1932678222656,598.1821899414062,True,-5.025752434141964,-90.26934867560726,-89.52766898093732,0,15
frame_000073,1763444916.7244172,True,True,680.648193359375,391.22161865234375,682.713623046875,391.31231689453125,-4.998075179898024,-0.2868474560550851,90.3616191512657,-4.996241767417359,-90.31846638102202,90.3616191512657,0.09492655098438263,0.33194610476493835,True,-4.996241767417359,-90.31846638102202,90.3616191512657,0,15
frame_000074,1763444916.824595,True,True,680.5224609375,389.577392578125,682.56640625,389.9310607910156,-175.144515213295,0.7160436575903475,-89.69982834718876,175.14792880905964,89.25846954375578,-89.69982834718874,224.96798706054688,433.25152587890625,True,175.14792880905964,89.25846954375578,-89.69982834718874,0,15
frame_000075,1763444916.9254906,True,True,680.2348022460938,377.1214599609375,682.2684326171875,377.05194091796875,-175.26671889894567,1.022847113873496,-90.25101953237579,175.26156209423846,88.99794381909243,-90.25101953237579,224.11427307128906,432.4147033691406,True,175.26156209423846,88.99794381909243,-90.25101953237579,0,15
frame_000076,1763444917.0247076,True,True,679.7308959960938,390.0913391113281,681.9019775390625,390.3307800292969,5.350106134836011,0.8624782608824546,-89.58136104828593,-5.344319338422707,-90.90165529094088,-89.58136104828593,345.9486083984375,601.3562622070312,True,-5.344319338422707,-90.90165529094088,-89.58136104828593,0,15
frame_000077,1763444917.1252244,True,True,679.4063720703125,390.50848388671875,681.5991821289062,390.57025146484375,-5.054381309825686,-0.27233909526424327,90.4011234246604,-5.052423055945354,-90.30780903971863,90.4011234246604,0.08632481098175049,0.26675769686698914,True,-5.052423055945354,-90.30780903971863,90.4011234246604,0,15
frame_000078,1763444917.2245462,True,True,678.94921875,390.59002685546875,681.2127075195312,390.6783142089844,-179.73620486187286,-5.1482488954063115,0.429339019923475,174.85386361140087,89.69646318843905,0.429339019923475,212.52610778808594,597.9818725585938,True,174.85386361140087,89.69646318843905,0.429339019923475,0,15
frame_000079,1763444917.334681,True,True,679.1404418945312,390.1337890625,681.3065795898438,390.271484375,-5.139719201028271,-0.31379372536036954,90.42622876004447,-5.13733879693504,-90.35212171849273,90.42622876004447,0.054451603442430496,0.26964250206947327,True,-5.13733879693504,-90.35212171849273,90.42622876004447,0,15
frame_000080,1763444917.4251847,True,True,679.3128662109375,389.0045471191406,681.4027099609375,389.4356994628906,-175.09994278250878,0.8122517125592594,-89.61297415317767,175.10501099746614,89.15459046912304,-89.61297415317769,224.7183380126953,433.1434020996094,True,175.10501099746614,89.15459046912304,-89.61297415317769,0,15
frame_000081,1763444917.525366,True,True,678.980712890625,372.8953857421875,680.8243408203125,373.5,-175.66087666441086,2.496891732716506,-90.27396309462588,175.64494050865505,87.52390481421173,-90.27396309462588,220.8449249267578,426.1313781738281,True,175.64494050865505,87.52390481421173,-90.27396309462588,0,15
frame_000082,1763444917.6256156,True,True,677.8596801757812,359.0048828125,679.978759765625,360.0411376953125,-175.1127658860147,2.950988501932386,-90.9263957640246,175.05954167214617,87.12850589939717,-90.9263957640246,224.3736114501953,432.4888916015625,True,175.05954167214617,87.12850589939717,-90.9263957640246,0,15
frame_000083,1763444917.7251353,True,True,677.5923461914062,349.1536865234375,679.5973510742188,350.5911560058594,4.021953608741029,-4.5671818985937875,-1.628478834167879,4.679449783817859,93.90365394559197,-1.628478834167879,1.468103289604187,3.4060897827148438,True,4.679449783817859,93.90365394559197,-1.628478834167879,0,211
frame_000084,1763444917.8256269,True,True,677.159423828125,339.9249267578125,679.3836669921875,341.5282287597656,4.29307267227145,-5.080308282292208,-2.081047369568637,5.23251263000688,94.12314120604036,-2.081047369568637,0.20816683769226074,0.7357372045516968,True,5.23251263000688,94.12314120604036,-2.081047369568637,0,211
frame_000085,1763444917.9253833,True,True,677.098388671875,339.7445983886719,679.3365478515625,341.4987487792969,4.397792121507791,-5.198481235345639,-2.104111481713744,5.356074750830828,94.22261368202976,-2.104111481713744,0.07925446331501007,0.19770386815071106,True,5.356074750830828,94.22261368202976,-2.104111481713744,0,211
frame_000086,1763444918.0251744,True,True,677.0387573242188,339.67938232421875,679.280517578125,341.48394775390625,-175.55679854140683,-5.167540131600674,-2.115185797216924,174.672348740578,85.73190459631718,-2.115185797216924,224.91224670410156,431.8724365234375,True,174.672348740578,85.73190459631718,-2.115185797216924,0,211
frame_000087,1763444918.1263604,True,True,676.992431640625,337.2677917480469,679.164794921875,339.1886901855469,4.827631391790192,-4.918995764575698,-2.219815853639602,-5.102015641704213,-94.65208332532943,-2.219815853639602,345.101318359375,599.046875,True,-5.102015641704213,-94.65208332532943,-2.219815853639602,0,211
